;êîõòï í1
T0001	0217	7400	0060	7600	0005	0000
T0002	0204	7400	0160	7600	0005	0000
T0003	0204	7400	0260	7600	0005	0000
T0004	0204	7400	0360	7600	0005	0000
T0005	0204	7400	0460	7600	0005	0000
T0006	0204	7400	0560	7600	0005	0000
T0007	0204	7400	0660	7600	0005	0000
T0008	0204	7400	0760	7600	0005	0000
T0009	0204	7400	1060	7600	0005	0000
T0010	0204	7400	1160	7600	0005	0000
T0011	0204	7400	1260	7600	0005	0000
T0012	0204	7400	1360	7600	0005	0000
T0013	0204	7400	1460	7600	0005	0000
T0014	0204	7400	1560	7600	0005	0000
T0015	0204	7400	1660	7600	0005	0000
T0016	0204	7400	1760	7600	0005	0000
T0017	0204	7400	2060	7600	0005	0000
T0018	0204	7400	2160	7600	0005	0000
T0019	0204	7400	2260	7600	0005	0000
T0020	0204	7400	2360	7600	0005	0000
T0021	0204	7400	2460	7600	0005	0000
T0022	0204	7400	2560	7600	0005	0000
T0023	0204	7400	2660	7600	0005	0000
T0024	0204	7400	2760	7600	0005	0000
T0025	0204	7400	0021	7600	0005	0000
T0026	0204	7400	0121	7600	0005	0000
T0027	0204	7400	0221	7600	0005	0000
T0028	0204	7400	0321	7600	0005	0000
T0029	0204	7400	0421	7600	0005	0000
T0030	0204	7400	0521	7600	0005	0000
T0031	0204	7400	0621	7600	0005	0000
T0032	0204	7400	0721	7600	0005	0000
T0033	0204	7400	1021	7600	0005	0000
T0034	0204	7400	1121	7600	0005	0000
T0035	0204	7400	1221	7600	0005	0000
T0036	0204	7400	1321	7600	0005	0000
T0037	0204	7400	1421	7600	0005	0000
T0038	0204	7400	1521	7600	0005	0000
T0039	0204	7400	1621	7600	0005	0000
T0040	0204	7400	1721	7600	0005	0000
T0041	0204	7400	2021	7600	0005	0000
T0042	0204	7400	2121	7600	0005	0000
T0043	0204	7400	2221	7600	0005	0000
T0044	0204	7400	2321	7600	0005	0000
T0045	0204	7400	2421	7600	0005	0000
T0046	0204	7400	2521	7600	0005	0000
T0047	0204	7400	2621	7600	0005	0000
T0048	0204	7400	2721	7600	0005	0000
T0049	0204	7400	0022	7600	0005	0000
